Chapter,Percentage
Electrochemistry,8.33
Stoichiometry & SBC,8.33
Liquid Solution,5.83
Solid State,5.00
Chemical Kinetics,2.50
Thermodynamics & Thermochemistry,2.50
Ionic Equilibrium,2.50
Hydrocarbons,13.33
Carbohydrates Amincids Polymer,8.33
Carboxylic Acids & Derivatives,3.33
Aldehydes & Ketones,3.33
Alcohol Ether & Phenols,2.50
Alkyl & Aryl Halides,2.50
Boron & Carbon Family,9.17
Ores & Metallurgy,6.67
Chemical Bonding,5.83
P-Block Elements,5.00
Hydrogen & S-Block,2.50
D-Block Elements & CC,2.50
