Chapter,Percentage
Progressions & Series,9.17
Complex Numbers,8.33
Matrices,8.33
Determinants,5.83
Vectors,3.33
Logarithms,2.50
Combinations,2.50
Differential Equations,5.83
Definite Integration,5.00
Indefinite Integration,3.33
Area,2.50
Circles,5.83
Parabola,3.33
Hyperbola,2.50
Ellipse,2.50
Solution of Triangles,3.33
Inverse Circular Functions,2.50
Trignometric Ratios & Identities,2.50
Trignometric Equations,2.50
Probability,10.00
Limits Continuity & Differentiability,5.00
3DG: Plane,3.33
