Chapter,Percentage
Three Dimensional Geometry -,8
Sequences and Series -,6
Definite Integration,6
Binomial Theorem,5
Vector Algebra,5
Differential Equations,5
Application of Derivatives,5
Matrices,4
Determinants -,3
Functions +,5
Permutation Combination +,4
Probability +,4
Complex Number,4
Circle,3
Area Under Curves,3
Straight Lines,3
Statistics,3
Quadratic Equation,3
Continuity and Differentiability,2
Sets and Relations,2
Parabola,2
Limits,2
Ellipse,2
Inverse Trigonometric Functions,2
Hyperbola,1
Indefinite Integration,1
Differentiation,1
Trigonometric Ratios and Identities,1
Basic of Mathematics,1
Properties of Triangles,1




