Chapter,Percentage
Current Electricity,7
Semiconductors,4
Gravitation,4
Magnetic Effect of Current,4
Ray Optics,4
Electrostatics,4
Alternating Current,4
Thermodynamics,4
Laws of motion,1
Rotational Dynamics,4
Dual Nature of Matter,2
SHM,1
Motion in 1D,1
Work Power Energy & Circular Motion,1
Nuclear Physics -,3
Atomic Physics,2
Capacitor,3
Motion in 2D,3
Sound Waves,3
KTG,3
Electromagnetic Waves,3
Fluid Mechanics,3
Basic Maths in Physics,2
EMI,2
Units and dimensions,2
Wave Optics,2
Thermal properties of matter,2
Mechanical properties of Solid,2
Centre Of Mass,2
Magnetic Properties of Matter,1
Experimental Physics,1









